"","iProfile","iBOFEK2012","iHoofd","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","B13","B14","B15","B16","B17","B18","O01","O02","O03","O04","O05","O06","O07","O08","O09","O10","O11","O12","O13","O14","O15","O16","O17","O18"
"227",15100,402,4,"","","","","","","","","","","","","","","","","","","","","","","","","","","12","","3","","","","","","45",""
"228",15101,403,4,"","","","","","","","","1","","","","","","","","","","","","","","","","","","","","2","","","","","","34",""
"229",15110,402,4,"","","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","","34",""
"230",15111,405,4,"","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","","","","","34",""
"231",15120,403,4,"","","","","","","","","1","","","","","","","","","","","","","","","","","","","2","3","","","","","","45",""
"232",15130,405,4,"","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","3","","","","","45",""
"233",15131,405,4,"","","","","","","","","","","1","2","","","","","","","","","","","","","","","","","","","3","","","","45",""
"234",15132,405,4,"","","","","","","","","","","12","","","","","","","","","6","","","","","","","","","","","3","","","","45",""
"235",15140,401,4,"","","","","","","1","","","","","","","","","","","","","4","","","","","","","23","","","","","","","","",""
"236",15160,421,4,"","","","","","","","","","1","","","","","","","","","","","","","","","","","","4","23","","","","","","",""
"237",15170,415,4,"","","","","","","","","","","12","","","","","","","","","","","","","","","","","5","4","3","","","","","",""
"238",15171,405,4,"","","","","","","","","","","12","","","","","","","","","","","","","","","","","","","34","","","","","5",""
"239",15180,408,4,"","","","","","","","1","","","","","","","","","","","4","","","","","","","3","2","","","","","","","","",""
"240",15190,408,4,"","","","","","","","1","","","","","","","","","","","4","","","","","","","","2","3","","","","","","","",""
"241",15200,410,4,"","","","","","","","","1","","","","","","","","","","4","","","","","","","","3","2","","","","","","","",""
"242",15210,410,4,"","","","","","","","","1","","","","","","","","","","4","","","","","","","","3","2","","","","","","","",""
"243",15220,412,4,"","","","","","","","","","1","","","","","","","","","4","","","","","","","","3","","2","","","","","","",""
